0 469  -3.69192 -3808.05   -2825 9.4003
200 4904  -0.957564 -22022.8   -107456 27.0848
400 6039  -0.505547 -18974.6   -139563 17.3917
600 6600  -0.347742 -15078.5   -155726 12.5095
800 6965  -0.235134 -10904.3   -166947 9.09325
