0    0.014791429042816162 0.43331864476203918  -3.7633452415466309         -0.47126674652099609 -1.4420077800750732 2.5178885459899902 0.55783939361572266 0.28685092926025391 -1.4406232833862305 0.48570585250854492 0.50985860824584961 
1    0.023934662342071533 0.42364582419395447  -6.3413314819335938         1.5517382621765137 -1.5278937816619873 -1.3100812435150146 0.32003641128540039 -3.504194974899292 2.499265193939209 0.36051082611083984 2.7457828521728516 
2    0.022501885890960693 0.43123355507850647  -5.1650691032409668         -4.4296011924743652 0.35329246520996094 -1.2754902839660645 0.3427891731262207 0.65691852569580078 0.27209663391113281 0.66044330596923828 0.50430822372436523 
3    0.024748295545578003 0.46675953269004822  -4.4455175399780273         1.6912598609924316 -1.8040890693664551 -1.2853121757507324 2.3413124084472656 0.57028293609619141 -1.4449799060821533 0.35465621948242188 0.60210418701171875 
4    0.021345138549804688 0.47044685482978821  -1.0233063697814941         1.4032607078552246 0.63405704498291016 0.53995609283447266 0.36365699768066406 0.62026405334472656 0.53013086318969727 0.57995367050170898 0.22787570953369141 
5    0.02142605185508728 0.4830271303653717  -4.3575568199157715         1.4592170715332031 2.5197153091430664 0.46609020233154297 0.7878880500793457 0.21472263336181641 4.5617551803588867 0.4471435546875 0.63904714584350586 
6    0.017651230096817017 0.51519805192947388  -2.2672429084777832         1.4277992248535156 0.6202244758605957 0.40399026870727539 2.5517759323120117 0.48284006118774414 0.67722845077514648 0.33815145492553711 0.34145307540893555 
7    0.023288041353225708 0.52517330646514893  -4.6668543815612793         -0.51684904098510742 0.43720817565917969 -1.4678821563720703 -3.3044466972351074 -3.5505154132843018 0.24227619171142578 -1.3073990345001221 0.35542535781860352 
8    0.019068330526351929 0.53216409683227539  -7.6062355041503906         -0.68837356567382812 -3.3967428207397461 4.5287466049194336 0.60898733139038086 -1.5394747257232666 0.52884817123413086 -3.4794895648956299 -1.5246591567993164 
9    0.022786170244216919 0.54407840967178345  -6.6242313385009766         -0.53779792785644531 0.42303466796875 2.4407958984375 4.8137130737304688 4.3632879257202148 2.4091567993164062 0.58801078796386719 -1.4448907375335693 
10    0.024020552635192871 0.59198188781738281  -2.0014760494232178         1.4833965301513672 2.4144625663757324 2.5096182823181152 2.462587833404541 2.4654970169067383 2.5831699371337891 0.68210172653198242 2.4112343788146973 
11    0.017941892147064209 0.60179734230041504  -7.8525075912475586         1.3133382797241211 -3.3967428207397461 4.5287466049194336 0.53095769882202148 -1.5394747257232666 0.52884817123413086 -3.4794895648956299 -1.5246591567993164 
12    0.030036062002182007 0.3484652042388916  -2.6950483322143555         1.5311007499694824 0.59729814529418945 2.4056596755981445 0.60405921936035156 2.4187831878662109 0.56744575500488281 0.54648971557617188 2.4592790603637695 
13    0.028449773788452148 0.35242289304733276  -2.6967172622680664         1.5311007499694824 0.59729814529418945 2.4056596755981445 0.59943866729736328 2.4187831878662109 0.56744575500488281 0.54648971557617188 2.4592790603637695 
14    0.035121142864227295 0.37736156582832336  -3.3381264209747314         -0.37074756622314453 2.6407485008239746 2.2548446655273438 0.56059646606445312 2.461094856262207 0.44812726974487305 0.47967052459716797 0.63101339340209961 
15    0.033761650323867798 0.4161226749420166  -5.1575512886047363         -0.33385181427001953 0.28068017959594727 -3.5173521041870117 -1.4704203605651855 0.71750593185424805 -3.6879611015319824 0.62366962432861328 -1.4399182796478271 
16    0.030208170413970947 0.42678463459014893  -4.7000575065612793         -0.51684904098510742 0.51547622680664062 -1.4678821563720703 -3.3044466972351074 -3.5505154132843018 0.24227619171142578 -1.3073990345001221 0.35542535781860352 
17    0.029084950685501099 0.43784785270690918  -0.96205258369445801         -0.32254886627197266 0.30434608459472656 0.64262819290161133 0.33215141296386719 0.53151893615722656 0.45859527587890625 0.49980401992797852 0.7533111572265625 
18    0.034448176622390747 0.44108676910400391  -3.5492515563964844         3.524601936340332 2.4433870315551758 2.8200569152832031 2.1354084014892578 2.6177597045898438 0.376373291015625 4.63385009765625 2.5871872901916504 
19    0.033766478300094604 0.45680561661720276  -2.6357879638671875         -0.40914011001586914 0.55543947219848633 0.39672756195068359 0.35430002212524414 0.51880168914794922 0.6208949089050293 2.6740841865539551 0.15174388885498047 
20    0.034464150667190552 0.49754816293716431  -2.1221396923065186         1.3874883651733398 2.4927759170532227 0.7368617057800293 0.28240251541137695 0.58128261566162109 0.62150096893310547 0.38377761840820312 0.75066566467285156 
21    0.034543693065643311 0.51570171117782593  -1.0349199771881104         1.423457145690918 0.6067962646484375 0.50838661193847656 0.30249404907226562 0.65609979629516602 0.45716571807861328 0.4528350830078125 0.87818098068237305 
22    0.034858644008636475 0.52631187438964844  -4.5037188529968262         1.6912598609924316 -1.8040890693664551 -1.2853121757507324 2.3413124084472656 0.57028293609619141 -1.5671694278717041 0.35465621948242188 0.62678909301757812 
23    0.031932801008224487 0.53431081771850586  -5.0152077674865723         -0.40125083923339844 0.44352531433105469 0.37338781356811523 2.3919892311096191 -3.4621274471282959 0.65223455429077148 -1.3493905067443848 0.28181314468383789 
24    0.032894909381866455 0.55402010679244995  -6.6253323554992676         1.6034975051879883 4.2278470993041992 -1.3678250312805176 2.5893664360046387 0.50129318237304688 0.38498592376708984 -1.4790678024291992 4.2921438217163086 
25    0.034259170293807983 0.56777077913284302  -4.6129894256591797         -0.50389671325683594 0.44144392013549805 0.4938054084777832 0.55792808532714844 2.4858493804931641 2.7136116027832031 4.1265888214111328 0.47434282302856445 
26    0.032356888055801392 0.57318025827407837  -5.7692503929138184         -0.76838588714599609 2.7806367874145508 -1.5791728496551514 -1.3533365726470947 -3.5285072326660156 -1.5969533920288086 -3.519157886505127 -1.5015873908996582 
27    0.034076511859893799 0.58255070447921753  -4.4952206611633301         3.3172845840454102 0.53985309600830078 0.59420204162597656 -1.60652756690979 0.71470212936401367 2.3756241798400879 0.6990046501159668 2.3795251846313477 
28    0.031611859798431396 0.60100233554840088  -2.1617212295532227         -0.57625675201416016 0.51871395111083984 -1.4271383285522461 0.23598766326904297 0.63933801651000977 0.62308406829833984 0.55090856552124023 0.29267358779907227 
29    0.032381772994995117 0.65712451934814453  -0.93878370523452759         1.3698248863220215 0.46752357482910156 0.59416866302490234 0.41595077514648438 0.58727931976318359 0.42587518692016602 0.64377498626708984 0.40178251266479492 
30    0.044376164674758911 0.34469878673553467  -1.2360992431640625         1.5707263946533203 0.51640796661376953 0.55621671676635742 0.40749120712280273 0.65399932861328125 0.26379680633544922 0.80163669586181641 0.28135108947753906 
31    0.041061908006668091 0.35798400640487671  -2.2272722721099854         -0.43763017654418945 0.49866724014282227 0.58179283142089844 0.53310394287109375 0.31451702117919922 0.72711563110351562 -1.5402820110321045 0.26097679138183594 
32    0.041988641023635864 0.39887610077857971  -1.9478828907012939         1.4447803497314453 0.57376623153686523 0.40450382232666016 0.77871036529541016 2.3071932792663574 0.61907291412353516 0.62744903564453125 0.37148380279541016 
33    0.044804185628890991 0.40714317560195923  -6.0875558853149414         1.6995487213134766 -1.6313128471374512 0.35832834243774414 0.56641340255737305 2.5547070503234863 -1.2373886108398438 4.1335611343383789 -1.42828369140625 
34    0.043051600456237793 0.41278010606765747  -1.8496805429458618         -0.34401607513427734 0.34333658218383789 -1.2333953380584717 0.28928327560424805 0.58812999725341797 0.27712631225585938 0.45165538787841797 0.6627345085144043 
35    0.037398487329483032 0.43879437446594238  -6.5198383331298828         -0.40994882583618164 0.47906875610351562 -3.8112697601318359 2.7628474235534668 -1.4699938297271729 -1.5458345413208008 2.6985783576965332 0.40671777725219727 
36    0.044496744871139526 0.46266868710517883  -2.5975134372711182         1.5422830581665039 2.4580497741699219 0.55127668380737305 0.52934932708740234 0.72501707077026367 0.054800510406494141 0.67678451538085938 2.2790632247924805 
37    0.044942975044250488 0.47976458072662354  -3.6897623538970947         1.6222801208496094 0.25934743881225586 -1.5578436851501465 0.61163711547851562 -1.3018548488616943 0.41814565658569336 0.69412517547607422 -1.8246479034423828 
38    0.039306402206420898 0.48425993323326111  -1.3513054847717285         1.6665983200073242 0.3036189079284668 0.59397745132446289 0.54564189910888672 0.21179294586181641 0.47662067413330078 0.80967617034912109 0.3845973014831543 
39    0.038070857524871826 0.49977999925613403  -4.4372859001159668         3.5050582885742188 0.48331069946289062 -1.3607537746429443 0.18319988250732422 0.68565654754638672 0.61786890029907227 2.5380520820617676 0.13342809677124023 
40    0.036834388971328735 0.50930052995681763  -1.2016046047210693         -0.55117654800415039 0.38545036315917969 0.5843501091003418 0.69635772705078125 0.36655998229980469 0.62360095977783203 0.61162042617797852 0.15225601196289062 
41    0.039619803428649902 0.52385914325714111  -5.7938346862792969         1.6718206405639648 0.059452533721923828 0.78648567199707031 -1.4852406978607178 -3.4876911640167236 0.39497804641723633 -1.5625941753387451 2.6356601715087891 
42    0.043077200651168823 0.53329968452453613  -1.8023755550384521         -0.49580478668212891 0.46206903457641602 0.45388317108154297 -1.104670524597168 0.039961338043212891 0.64771747589111328 0.36959266662597656 0.54275083541870117 
43    0.036923766136169434 0.54446214437484741  -1.1794060468673706         -0.54702329635620117 0.5436854362487793 0.22335290908813477 0.61147689819335938 0.70108890533447266 0.54519414901733398 0.47903823852539062 0.53273248672485352 
44    0.038899719715118408 0.55414557456970215  -1.2208555936813354         1.4964790344238281 0.47314691543579102 0.71451425552368164 0.20516633987426758 0.51710605621337891 0.35088586807250977 0.83910369873046875 0.29296684265136719 
45    0.038077592849731445 0.56111818552017212  -4.1009716987609863         -0.53780508041381836 -1.3997178077697754 0.30999183654785156 0.31865787506103516 -1.2731695175170898 -1.3676447868347168 2.5247836112976074 -1.5600886344909668 
46    0.03592333197593689 0.57744669914245605  -1.3276650905609131         -0.61561059951782227 0.51745414733886719 0.62799549102783203 0.38874530792236328 0.59566259384155273 0.22055673599243164 0.91129255294799805 0.32046985626220703 
47    0.04390329122543335 0.58734434843063354  -4.3693742752075195         -0.54316234588623047 0.43558025360107422 -1.4755308628082275 -3.2421228885650635 -3.6120543479919434 -1.7553102970123291 -1.3690404891967773 0.31817722320556641 
48    0.035637557506561279 0.59668576717376709  -2.7627243995666504         1.5578136444091797 0.28568649291992188 2.5709552764892578 0.61650466918945312 2.3885154724121094 0.32123041152954102 0.8028864860534668 0.3498835563659668 
