0    0.0036165956407785416 0  -134.49636840820312         -4.9638338088989258 -5 -2.8046088218688965 -1.8902573585510254 2.1656804084777832 -1.7018053531646729 2.0175552368164062 -2.0902228355407715 -2.552936315536499 1.0885043144226074 
1    0.00077814480755478144 0.012724071741104126  -123.65711212158203         -4.9922184944152832 -4.8727593421936035 0.38189458847045898 2.029698371887207 -3.0634045600891113 -1.0832655429840088 -1.0447578430175781 -0.068802356719970703 -4.2712001800537109 -1.1506879329681396 
2    0 0.017423197627067566  -161.40008544921875         -5 -4.825767993927002 -2.0462253093719482 -3.3447456359863281 4.8734045028686523 1.2215228080749512 -0.82684898376464844 0.86213111877441406 -0.84569263458251953 2.6114602088928223 
3    0 0.027435228228569031  -137.92318725585938         -5 -4.7256479263305664 1.0141177177429199 -1.5104241371154785 -0.94319438934326172 -1.997708797454834 -2.314600944519043 -0.60063314437866211 2.1000308990478516 2.0963912010192871 
4    0 0.04196968674659729  -132.78475952148438         -5 -4.5803031921386719 -0.077955245971679688 -2.242009162902832 1.0851340293884277 -2.008939266204834 2.8722567558288574 0.11695337295532227 -0.52050065994262695 0.27492141723632812 
5    0.0014758147299289703 0.050811618566513062  -170.28253173828125         -4.9852418899536133 -4.4918837547302246 -0.15902328491210938 1.7002477645874023 -1.6155409812927246 0.065295219421386719 -3.0319044589996338 1.572716236114502 -3.6050083637237549 -1.0658926963806152 
6    0.0018312968313694 0.060293912887573242  -149.48155212402344         -4.981687068939209 -4.3970608711242676 -3.0748927593231201 1.9586567878723145 1.8151087760925293 1.2534112930297852 -3.1361269950866699 -1.9584295749664307 0.17812252044677734 -3.3728373050689697 
7    0.0040233433246612549 0.066600918769836426  -146.90261840820312         -4.9597663879394531 -4.3339910507202148 -0.82817983627319336 1.9284420013427734 -2.0907642841339111 -1.0255928039550781 4.8538150787353516 -3.4654366970062256 0.19397306442260742 -1.9384288787841797 
8    0.00092019117437303066 0.078831568360328674  -169.44807434082031         -4.9907979965209961 -4.2116842269897461 -1.9557693004608154 -4.5239048004150391 1.4266977310180664 0.75663089752197266 -1.5332844257354736 1.9561581611633301 3.1262140274047852 1.9455289840698242 
9    0 0.092293977737426758  -150.61317443847656         -5 -4.0770602226257324 -1.183161735534668 2.0114288330078125 2.0241250991821289 -3.4642205238342285 2.6185503005981445 2.1069073677062988 -1.3016045093536377 1.7207932472229004 
10    0.0018312968313694 0.10160869359970093  -128.08978271484375         -4.981687068939209 -3.9839129447937012 -3.0748927593231201 1.9586567878723145 1.8151087760925293 1.2534112930297852 -3.1361269950866699 -1.9584295749664307 0.17812252044677734 -3.3728373050689697 
11    0 0.12123805284500122  -140.10617065429688         -5 -3.7876195907592773 3.5463771820068359 -3.4495880603790283 -1.6863539218902588 0.19055318832397461 0.94521522521972656 -1.073223352432251 1.015955924987793 0.93634605407714844 
12    0 0.1311289519071579  -154.70166015625         -5 -3.6887104511260986 -1.4241611957550049 -0.21236181259155273 -0.016846656799316406 1.2267189025878906 -0.86635398864746094 1.796412467956543 2.8231854438781738 4.3648929595947266 
13    0 0.13800600171089172  -145.46031188964844         -5 -3.6199400424957275 0.58759212493896484 -2.9824962615966797 -1.1173434257507324 0.672515869140625 -0.28190469741821289 -3.243751049041748 1.0475139617919922 2.9306173324584961 
14    0 0.14800605177879333  -134.06135559082031         -5 -3.5199394226074219 4.1980915069580078 -0.0017681121826171875 -1.9670770168304443 0.92187833786010742 -1.1334152221679688 2.024050235748291 0.20721149444580078 -4.7985754013061523 
15    0 0.16617880761623383  -142.94796752929688         -5 -3.3382120132446289 -0.20505332946777344 0.53168296813964844 -0.93835020065307617 0.078303813934326172 3.7553720474243164 -1.438746452331543 -0.94806385040283203 -2.2469429969787598 
16    0 0.16670107841491699  -153.4287109375         -5 -3.3329892158508301 -1.4241611957550049 -0.21236181259155273 -0.016846656799316406 1.2267189025878906 -0.86635398864746094 1.796412467956543 2.8231854438781738 4.3648929595947266 
17    0 0.18206578493118286  -154.26554870605469         -5 -3.1793422698974609 -0.2836451530456543 -2.5191524028778076 2.1064519882202148 -1.5651857852935791 3.0535469055175781 -2.0869455337524414 -1.7799668312072754 3.2388954162597656 
18    0.0036372244358062744 0.19053037464618683  -116.09104919433594         -4.963627815246582 -3.0946962833404541 1.7718720436096191 0.67017269134521484 -0.99931478500366211 -0.7864842414855957 1.2691726684570312 0.49958944320678711 -2.0348572731018066 0.18537473678588867 
19    0 0.20408469438552856  -96.051155090332031         -5 -2.9591531753540039 -1.9308443069458008 -1.8459386825561523 0.97011661529541016 3.2276411056518555 0.84667205810546875 -3.9086241722106934 -1.1597061157226562 0.090332508087158203 
20    0 0.2090049684047699  -109.50174713134766         -5 -2.9099502563476562 3.0029792785644531 -3.6666440963745117 0.9344329833984375 -0.24244213104248047 0.90595197677612305 -1.0882983207702637 -3.9979248046875 1.9366955757141113 
21    0.0043836236000061035 0.22179901599884033  -131.96629333496094         -4.9561638832092285 -2.7820098400115967 3.6116676330566406 1.2703046798706055 1.0346822738647461 -1.8788459300994873 0.88266849517822266 0.37501716613769531 0.62244796752929688 -0.10106325149536133 
22    0 0.23092120885848999  -121.20987701416016         -5 -2.6907877922058105 3.0029792785644531 -3.6666440963745117 0.90439224243164062 -0.24244213104248047 0.90595197677612305 -1.0882983207702637 -3.9979248046875 1.9366955757141113 
23    0.0014484226703643799 0.24590873718261719  -116.04236602783203         -4.9855155944824219 -2.5409126281738281 -3.0938196182250977 -1.7812097072601318 -1.9359967708587646 -1.1492538452148438 -1.1614024639129639 -0.0026979446411132812 -1.1849379539489746 1.3776912689208984 
24    0.0034456253051757812 0.24819788336753845  -149.95362854003906         -4.9655437469482422 -2.5180211067199707 3.9682550430297852 -2.8774847984313965 1.1503534317016602 4.1108694076538086 -0.068165302276611328 -1.8661327362060547 3.3532123565673828 -0.28144407272338867 
25    0 0.26724004745483398  -160.56385803222656         -5 -2.3275995254516602 0.11155366897583008 5 2.7889375686645508 -2.116849422454834 1.2894706726074219 -3.3030571937561035 2.4568452835083008 -1.0551419258117676 
26    0.0015985257923603058 0.27740252017974854  -134.14981079101562         -4.9840145111083984 -2.2259747982025146 2.1884136199951172 2.9446334838867188 -0.86649847030639648 -1.6015684604644775 -0.99681186676025391 -0.12408781051635742 -0.42305231094360352 3.36480712890625 
27    0 0.28728646039962769  -166.02133178710938         -5 -2.1271352767944336 -2.1453511714935303 2.6227903366088867 -3.6081528663635254 -0.27143192291259766 2.0963373184204102 -1.6599488258361816 -4.3197369575500488 -0.9427189826965332 
