0    0.0049190521240234375 0.43087148666381836  -1.5244227647781372         -0.46465778350830078 -1.4844574928283691 -1.503293514251709 
1    0.0026368200778961182 0.45601171255111694  -8.9119234085083008         -4.4678463935852051 -1.4865102767944336 2.4584436416625977 
2    0.0036450624465942383 0.46654391288757324  -1.4345228672027588         3.4839897155761719 2.5765647888183594 2.4639692306518555 
3    0.0044717788696289062 0.48944362998008728  -6.3732514381408691         3.518977165222168 0.43101215362548828 -1.3966655731201172 
4    0.003233492374420166 0.50689351558685303  -1.5168775320053101         3.4946794509887695 2.5448923110961914 2.4094409942626953 
5    0.01422610878944397 0.38599345088005066  -10.336641311645508         1.5872383117675781 -3.500877857208252 4.4560642242431641 
6    0.014020979404449463 0.38999313116073608  -3.7137231826782227         -0.40549659729003906 2.4391708374023438 0.54867076873779297 
7    0.009857177734375 0.40156370401382446  -3.8684985637664795         -0.44028711318969727 0.49969196319580078 2.5117740631103516 
8    0.0075886547565460205 0.41712287068367004  -3.9574601650238037         -0.44206094741821289 -3.4884018898010254 -1.540215015411377 
9    0.0087061524391174316 0.43751052021980286  -6.5937528610229492         1.5761089324951172 -3.5154662132263184 -1.5863595008850098 
10    0.012098431587219238 0.45533260703086853  -2.8228118419647217         -0.49060916900634766 -1.5436272621154785 0.65663766860961914 
11    0.01443907618522644 0.46748703718185425  -5.1023259162902832         -0.50589656829833984 2.4582109451293945 -1.3217782974243164 
12    0.0070619285106658936 0.47676217555999756  -1.6393973827362061         3.4478912353515625 4.612701416015625 4.4861717224121094 
13    0.014391899108886719 0.48514890670776367  -3.983790397644043         -0.52741241455078125 -3.5253827571868896 -1.3226585388183594 
14    0.0063598453998565674 0.4917881190776825  -2.3696994781494141         -0.43149232864379883 0.38164520263671875 -1.4617447853088379 
15    0.013873070478439331 0.50861793756484985  -1.6382056474685669         1.4358634948730469 2.6659626960754395 2.3488569259643555 
16    0.005112379789352417 0.51785486936569214  -5.1704006195068359         -2.5168097019195557 0.45540332794189453 -3.3893613815307617 
17    0.007061392068862915 0.52200132608413696  -8.7995529174804688         3.4718990325927734 0.46106719970703125 -3.3726167678833008 
18    0.0082542002201080322 0.53707665205001831  -3.9446325302124023         -0.47990083694458008 -3.520960807800293 -1.602269172668457 
19    0.0089772343635559082 0.55008870363235474  -6.5860519409179688         3.5192174911499023 0.45746088027954102 -1.581864595413208 
20    0.010951489210128784 0.57100552320480347  -2.3037204742431641         -0.58217096328735352 -1.3940796852111816 0.39944934844970703 
21    0.01257362961769104 0.60951995849609375  -4.040471076965332         -2.5829732418060303 -1.4906749725341797 0.52221012115478516 
22    0.024467587471008301 0.36371153593063354  -9.5353012084960938         -2.3578121662139893 -1.557396411895752 4.4435634613037109 
